City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,guerrero negro,27.9769,-114.0611,20.2,68,7,8.68,MX,1688772667
342,pitalito,1.8497,-76.0479,18.54,98,94,0.76,CO,1688772667
343,necochea,-38.5473,-58.7368,7.01,60,100,1.91,AR,1688772668
344,carnarvon,-24.8667,113.6333,13.44,68,0,6.21,AU,1688772634
345,veraval,20.9,70.3667,27.27,88,100,6.94,IN,1688772669
346,lompoc,34.6391,-120.4579,24.83,74,100,11.62,US,1688772669
347,san luis,-33.295,-66.3356,8.93,62,2,2.15,AR,1688772670
348,kharp,66.8014,65.8081,12.67,89,99,4.59,RU,1688772670
349,puerto baquerizo moreno,-0.9,-89.6,24.92,80,56,5.61,EC,1688772670
350,howick,-29.4779,30.2306,11.72,36,100,2.42,ZA,1688772531
351,jeju city,33.5097,126.5219,25.96,94,100,4.12,KR,1688772664
352,rio grande,-32.035,-52.0986,15.06,88,100,6.75,BR,1688772671
353,chiredzi,-21.05,31.6667,13.46,75,5,1.89,ZW,1688772671
354,praia da vitoria,38.7333,-27.0667,20.14,77,40,3.75,PT,1688772672
355,turaif,31.6725,38.6637,23.14,49,0,6.17,SA,1688772672
356,holualoa,19.6228,-155.9522,25.99,79,100,4.12,US,1688772672
357,tsumeb,-19.2333,17.7167,13.88,34,0,3.38,NA,1688772672
358,taoudenni,22.6783,-3.9836,39.49,14,24,4.23,ML,1688772673
359,klyuchi,52.2667,79.1667,16.86,86,2,1.88,RU,1688772673
360,santa elena de uairen,4.6167,-61.1333,20.0,90,43,1.87,VE,1688772673
361,franklin,39.9667,-83.0166,29.35,53,40,2.57,US,1688772673
362,tsiombe,-25.3,45.4833,16.62,86,0,2.52,MG,1688772674
363,port pirie,-33.1833,138.0167,13.15,73,38,6.28,AU,1688772674
364,medina,24.4686,39.6142,35.24,11,0,2.57,SA,1688772631
365,oxapampa,-10.5775,-75.4017,16.41,95,95,0.31,PE,1688772675
366,saudarkrokur,65.7461,-19.6394,9.24,87,57,1.65,IS,1688772675
367,shingu,33.7333,135.9833,26.89,89,94,4.01,JP,1688772476
368,iquique,-20.2208,-70.1431,18.02,82,37,1.79,CL,1688772675
369,borogontsy,62.6683,131.1683,19.59,68,74,5.49,RU,1688772676
370,bocas del toro,9.3333,-82.25,23.89,75,91,3.6,PA,1688772676
371,jose bonifacio,-21.0528,-49.6883,22.59,46,34,2.19,BR,1688772676
372,aban,56.67,96.06,21.69,59,43,3.6,RU,1688772676
373,la sarre,48.8002,-79.1996,20.35,66,10,1.37,CA,1688772677
374,harper,4.375,-7.7169,24.73,79,92,3.58,LR,1688772677
